ObjID,o+_h+,erro(o+_h+),o2+_h+,erro(o2+_h+),ICF(O),o_h,erro(o_h),he+_h+,erro(he+_h+),he2+_h+,erro(he2+_h+),ICF(He),+he_h,erro(+he_h)
IC4777,8.461,0.012,8.103,0.009,1.2,8.699,0.010,10.849,0.026,10.154,0.016,1.4,11.077,0.016
IC4995,8.130,0.022,8.173,0.005,1.4,8.604,0.015,10.750,0.033,10.366,0.010,1.5,11.087,0.016
IRAS11215-2806,8.409,0.011,7.892,0.008,1.3,8.631,0.011,10.891,0.024,10.336,0.011,1.5,11.166,0.013
MCG-01-24-012,8.542,0.009,7.975,0.007,1.3,8.750,0.010,10.804,0.031,10.238,0.014,1.5,11.077,0.016
MCG-02-51-008,8.486,0.012,7.900,0.014,1.1,8.631,0.011,10.856,0.026,9.879,0.029,1.3,11.018,0.018
NGC 1125,8.542,0.009,7.968,0.010,1.2,8.713,0.009,10.850,0.027,10.076,0.020,1.4,11.059,0.017
NGC 1194,8.306,0.018,8.023,0.010,1.1,8.515,0.012,10.896,0.024,9.703,0.045,1.4,11.063,0.016
NGC 1320,8.036,0.029,8.160,0.006,1.4,8.552,0.015,10.890,0.024,10.498,0.007,1.5,11.226,0.011
NGC 3281,8.407,0.014,8.163,0.008,1.3,8.722,0.012,10.892,0.025,10.387,0.009,1.5,11.182,0.013
NGC 3393,8.446,0.013,8.294,0.006,1.3,8.777,0.010,10.926,0.023,10.338,0.011,1.4,11.186,0.013
NGC 4939,8.377,0.014,8.265,0.006,1.3,8.740,0.010,10.926,0.023,10.403,0.009,1.5,11.208,0.012
NGC 4968,8.227,0.017,7.911,0.006,1.3,8.506,0.013,10.927,0.022,10.375,0.010,1.5,11.200,0.012
NGC 5427,8.346,0.014,8.014,0.008,1.2,8.576,0.010,10.993,0.019,10.189,0.015,1.4,11.194,0.012
NGC 5643,8.485,0.011,8.124,0.007,1.7,8.886,0.031,10.449,0.067,10.309,0.011,1.7,10.919,0.022
NGC 5990,8.721,0.015,8.059,0.027,1.1,8.844,0.014,10.794,0.029,9.749,0.038,1.3,10.947,0.022
NGC 7682,8.465,0.010,8.059,0.006,1.3,8.709,0.010,10.802,0.030,10.214,0.014,1.5,11.064,0.016
PKS1306-241,8.659,0.008,7.908,0.016,1.1,8.755,0.009,10.849,0.027,9.620,0.055,1.3,10.987,0.020
