Orion, 7.73, 8.65, 8.4
Sh2-29, 7.87, 8.65, 7.14
Sh2-32, 7.80, 8.54, 6.63
Sh2-47, 7.86, 8.65, 6.62
Sh2-48, 8.02, 8.69, 4.2 
Sh2-53, 8.13, 8.78, 4.7 
Sh2-54, 7.66, 8.43, 6.51 
Sh2-82, 7.84, 8.60, 7.73 
Sh2-88B, 7.72, 8.54, 7.45
Sh2-175, 7.69, 8.42, 10.2
Sh2-219, 7.41, 8.22, 12.3
Sh2-235, 7.56, 8.41, 9.6
Sh2-237, 7.51, 8.31, 10.2
Sh2-257, 7.58, 8.38, 10.1
Sh2-270, 7.22, 8.04, 16.1
Sh2-271, 7.49, 8.26, 12.0
Sh2-285, 7.42, 8.19, 13.8
Sh2-297, 7.70, 8.45, 8.7
